留言,公司名稱1,標的號碼1,公司名稱2,標的號碼2,公司名稱3,標的號碼3
股市可以崩 房地產不行 懂嗎,,,,,,
太棒了 半碼,,,,,,
央行下次調整利息是九月了,,,,,,
有房有股有美金你就不用整天瞎猜...,,,,,,
買房還是最舒服,,,,,,
爽 買不起房的繼續幻想房價會跌,,,,,,
明日崩崩爽,,,,,,
類升息 懂?,,,,,,
爽，本來就不要亂升,,,,,,
建商：朕不給的，你們不能要,,,,,,
垃圾央行,,,,,,
為什麼一堆人希望升息? 股市不是因為升息才崩嘛,,,,,,
炒房央行,,,,,,
每個月房貸多繳2000我快死了(棒讀),,,,,,
半碼笑死人XDD,,,,,,
利多出盡 明天跌停一千點,,,,,,
怕輸入性通膨結果升半碼？,,,,,,
呆丸歡樂趴開起來 股房地炒起來 雞排上看200爽吃,,,,,,
台幣拉一根,,,,,,
明天金金地底探親,,,,,,
笑死，跟進1/6,,,,,,
房市崩就準備失落20年吧 當然不敢給房市崩,,,,,,
笑死 半碼要幹嘛,,,,,,
外資提款 爽歪歪,,,,,,
爛死==,,,,,,
